                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg
  0.3499566677855381E+000   0.0000000000000000E+000                         1                         1                        80                         0                       -80
  0.3543676975109001E+000   0.0000000000000000E+000                         1                         1                        79                         0                       -79
  0.3588333765002560E+000   0.0000000000000000E+000                         1                         1                        78                         0                       -78
  0.3634690032517313E+000   0.0000000000000000E+000                         1                         1                        77                         0                       -77
  0.3681966895069463E+000   0.0000000000000000E+000                         1                         1                        76                         0                       -76
  0.3730073654433146E+000   0.0000000000000000E+000                         1                         1                        75                         0                       -75
  0.3780127448215857E+000   0.0000000000000000E+000                         1                         1                        74                         0                       -74
  0.3830734420760468E+000   0.0000000000000000E+000                         1                         1                        73                         0                       -73
  0.3882906631414479E+000   0.0000000000000000E+000                         1                         1                        72                         0                       -72
  0.3936804775227677E+000   0.0000000000000000E+000                         1                         1                        71                         0                       -71
  0.3991716855767865E+000   0.0000000000000000E+000                         1                         1                        70                         0                       -70
  0.4048428478742996E+000   0.0000000000000000E+000                         1                         1                        69                         0                       -69
  0.4107590532685623E+000   0.0000000000000000E+000                         1                         1                        68                         0                       -68
  0.4167326714792500E+000   0.0000000000000000E+000                         1                         1                        67                         0                       -67
  0.4230102835924811E+000   0.0000000000000000E+000                         1                         1                        66                         0                       -66
  0.4294574812163876E+000   0.0000000000000000E+000                         1                         1                        65                         0                       -65
  0.4360567018998954E+000   0.0000000000000000E+000                         1                         1                        64                         0                       -64
  0.4429280120000576E+000   0.0000000000000000E+000                         1                         1                        63                         0                       -63
  0.4499825022448349E+000   0.0000000000000000E+000                         1                         1                        62                         0                       -62
  0.4572032449880382E+000   0.0000000000000000E+000                         1                         1                        61                         0                       -61
  0.4647268724905981E+000   0.0000000000000000E+000                         1                         1                        60                         0                       -60
  0.4724012856297987E+000   0.0000000000000000E+000                         1                         1                        59                         0                       -59
  0.4803905959984719E+000   0.0000000000000000E+000                         1                         1                        58                         0                       -58
  0.4886009417176738E+000   0.0000000000000000E+000                         1                         1                        57                         0                       -57
  0.4971439691380762E+000   0.0000000000000000E+000                         1                         1                        56                         0                       -56
  0.5059516810943220E+000   0.0000000000000000E+000                         1                         1                        55                         0                       -55
  0.5151274390899598E+000   0.0000000000000000E+000                         1                         1                        54                         0                       -54
  0.5246323638704865E+000   0.0000000000000000E+000                         1                         1                        53                         0                       -53
  0.5344386602442119E+000   0.0000000000000000E+000                         1                         1                        52                         0                       -52
  0.5447153398492973E+000   0.0000000000000000E+000                         1                         1                        51                         0                       -51
  0.5553093961624888E+000   0.0000000000000000E+000                         1                         1                        50                         0                       -50
  0.5663288785805743E+000   0.0000000000000000E+000                         1                         1                        49                         0                       -49
  0.5779414998328489E+000   0.0000000000000000E+000                         1                         1                        48                         0                       -48
  0.5898805882888059E+000   0.0000000000000000E+000                         1                         1                        47                         0                       -47
  0.6024335066746601E+000   0.0000000000000000E+000                         1                         1                        46                         0                       -46
  0.6156851676790416E+000   0.0000000000000000E+000                         1                         1                        45                         0                       -45
  0.6292595544741908E+000   0.0000000000000000E+000                         1                         1                        44                         0                       -44
  0.6436752450990423E+000   0.0000000000000000E+000                         1                         1                        43                         0                       -43
  0.6587401887749006E+000   0.0000000000000000E+000                         1                         1                        42                         0                       -42
  0.6742377202087715E+000   0.0000000000000000E+000                         1                         1                        41                         0                       -41
  0.6907989003821544E+000   0.0000000000000000E+000                         1                         1                        40                         0                       -40
  0.7080281353904978E+000   0.0000000000000000E+000                         1                         1                        39                         0                       -39
  0.7260126892999966E+000   0.0000000000000000E+000                         1                         1                        38                         0                       -38
  0.7451713497724259E+000   0.0000000000000000E+000                         1                         1                        37                         0                       -37
  0.7651923582660300E+000   0.0000000000000000E+000                         1                         1                        36                         0                       -36
  0.7864255817787901E+000   0.0000000000000000E+000                         1                         1                        35                         0                       -35
  0.8088373941445901E+000   0.0000000000000000E+000                         1                         1                        34                         0                       -34
  0.8326098078897003E+000   0.0000000000000000E+000                         1                         1                        33                         0                       -33
  0.8578474757144542E+000   0.0000000000000000E+000                         1                         1                        32                         0                       -32
  0.8846505010196160E+000   0.0000000000000000E+000                         1                         1                        31                         0                       -31
  0.9132620686797850E+000   0.0000000000000000E+000                         1                         1                        30                         0                       -30
  0.9439490055311401E+000   0.0000000000000000E+000                         1                         1                        29                         0                       -29
  0.9764617750020158E+000   0.0000000000000000E+000                         1                         1                        28                         0                       -28
  0.1011833033925315E+001   0.0000000000000000E+000                         1                         1                        27                         0                       -27
  0.1049711819690113E+001   0.0000000000000000E+000                         1                         1                        26                         0                       -26
  0.1090357905255585E+001   0.0000000000000000E+000                         1                         1                        25                         0                       -25
  0.1134863598371173E+001   0.0000000000000000E+000                         1                         1                        24                         0                       -24
  0.1182899186770365E+001   0.0000000000000000E+000                         1                         1                        23                         0                       -23
  0.1235471765220755E+001   0.0000000000000000E+000                         1                         1                        22                         0                       -22
  0.1293221669054270E+001   0.0000000000000000E+000                         1                         1                        21                         0                       -21
  0.1356087079186214E+001   0.0000000000000000E+000                         1                         1                        20                         0                       -20
  0.1425883286677316E+001   0.0000000000000000E+000                         1                         1                        19                         0                       -19
