                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg
  0.1670779847292291E+001   0.0000000000000000E+000                         1                         1                        14                         0                       -14
  0.1813549649518409E+001   0.0000000000000000E+000                         1                         1                        13                         0                       -13
  0.1961494188451615E+001   0.0000000000000000E+000                         1                         1                        12                         0                       -12
  0.2097649947795308E+001   0.0000000000000000E+000                         1                         1                        11                         0                       -11
  0.2275776988791755E+001   0.0000000000000000E+000                         1                         1                        10                         0                       -10
  0.2551161016731232E+001   0.0000000000000000E+000                         1                         1                         9                         0                        -9
  0.2782371755469013E+001   0.0000000000000000E+000                         1                         1                         8                         0                        -8
  0.3087065447841798E+001   0.0000000000000000E+000                         1                         1                         7                         0                        -7
  0.3671651345285454E+001   0.0000000000000000E+000                         1                         1                         6                         0                        -6
  0.4104037243100315E+001   0.0000000000000000E+000                         1                         1                         5                         0                        -5
  0.4501954740843511E+001   0.0000000000000000E+000                         1                         1                         4                         0                        -4
