                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230811"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                 delta_Pg                              num_retries                                num_iters 
                                     193                                      898                  2.0066145832598172E+006                  5.0538151232177615E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  7.3262012538772570E-001                  1.8121480241514731E-001                  7.8128448825071084E-008                  2.1166992490934244E-001                  2.0439361551177984E-001                  3.1458190375748751E-001                  7.8128448825071084E-008                  9.9999999983431209E-001                  9.9999999948927165E-001                  2.3255638565825354E+000                 -3.4464044790957566E+001                 -3.5341234113165849E+000                  2.3255644565072360E+000                  1.3276875619225459E+000                  2.2795697564365258E+000                 -3.4464044790957566E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5619804025123273E+032                  1.4556532605607603E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1854096181265588E+000                  2.4102206279793754E+000                  3.5694423860106694E-001                  4.3262391414289612E+000                  0.0000000000000000E+000                  1.7005054226301400E+001                  1.4531727940246637E+000                  7.4138261368281206E+000                  6.1189964263973906E-001                  8.5479257703305922E-001                  1.2829356186752574E+000                  7.0959477264270610E-001                  2.7611871307018798E-001                  3.7431949302507874E-005                  5.8913754054953343E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8397526489082292E+000                  1.1041289191955470E+000                  6.9612432523393391E+003                                        0                                       10 
                                     194                                      866                  2.1424447923629968E+006                  5.1329963692653866E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.2144059010896875E-001                  2.0342529600200415E-001                  7.8128448880582235E-008                  9.9999999985579657E-001                  9.9999999956249375E-001                  3.4316838313676040E-001                  7.8128448880582235E-008                  9.9999999985579657E-001                  9.9999999956249375E-001                  2.3689424200912774E+000                 -3.4255119091275205E+001                 -3.4329998806912463E+000                  2.3689431053296386E+000                  1.3454999567053723E+000                  2.3257132229151143E+000                 -3.4255119091275205E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8103482660466108E+032                  1.4847798072641468E+033                  2.3191494178027324E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.3762618940823635E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1857095017332755E+000                  2.3926497111654927E+000                  3.4755901298069269E-001                  4.3450095926697099E+000                  0.0000000000000000E+000                  1.7017168933196974E+001                  1.4609090410947161E+000                  7.4182183799401651E+000                  6.1201779197890260E-001                  8.5466625588149303E-001                  1.2832470535039493E+000                  7.0934290905400010E-001                  2.7636970172227043E-001                  3.2005240978186661E-005                  5.8706827398605083E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8394277755975992E+000                  1.1044321137292692E+000                  6.9708786615456265E+003                                        0                                        5 
                                     195                                      871                  2.3054410432868120E+006                  5.2121776153130117E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.8283321526183423E-001                  2.1991716570212366E-001                  7.8128448658537630E-008                  9.9999999986165578E-001                  9.9999999958888408E-001                  3.7119855742328528E-001                  7.8128448658537630E-008                  9.9999999986165578E-001                  9.9999999958888408E-001                  2.3801666100986067E+000                 -3.4225725604987169E+001                 -3.4191077799590226E+000                  2.3801672995594028E+000                  1.3480208312375495E+000                  2.3378383128282358E+000                 -3.4225725604987169E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9185810851499999E+032                  1.4887420984450214E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1846451204988142E+000                  2.3823027235198579E+000                  3.4451428162679770E-001                  4.3510990553774995E+000                  0.0000000000000000E+000                  1.7016714485550740E+001                  1.4598469594263310E+000                  7.4188823642488355E+000                  6.1214641114739199E-001                  8.5452863995617678E-001                  1.2835858639535638E+000                  7.0906848135132405E-001                  2.7664464965531665E-001                  3.2618201769356348E-005                  5.8489239383660661E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8390280770907985E+000                  1.1048055441935620E+000                  7.0205601328874891E+003                                        0                                        5 
                                     196                                      868                  2.5010365443953909E+006                  5.2913588613606359E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1255395653262095E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959460206E-001                  3.8041239131931243E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959460206E-001                  2.3781374466275542E+000                 -3.4196059925383132E+001                 -3.4058647665450064E+000                  2.3781381607648933E+000                  1.3472472225224084E+000                  2.3356804102560753E+000                 -3.4196059925383132E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9056627251467809E+032                  1.4787045667353858E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1846408487561790E+000                  2.3801081841930163E+000                  3.4342555544864589E-001                  4.3532765077338036E+000                  0.0000000000000000E+000                  1.7018323036559178E+001                  1.4609705921441201E+000                  7.4194720440340127E+000                  6.1230768837156013E-001                  8.5435620072565410E-001                  1.2840108160300492E+000                  7.0872431874660102E-001                  2.7698999276067532E-001                  3.0767136969223309E-005                  5.8189137547914943E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8385516738022432E+000                  1.1052665555606722E+000                  7.0169503895903017E+003                                        0                                        5 
                                     197                                      866                  2.7357511457256847E+006                  5.3705401074082610E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1300796267183970E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959742503E-001                  3.8041239131931243E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959742503E-001                  2.3790921726264553E+000                 -3.4180809459488351E+001                 -3.3998440852394416E+000                  2.3790928951428270E+000                  1.3458294896501248E+000                  2.3368780535021054E+000                 -3.4180809459488351E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9192729011597913E+032                  1.4784248355831757E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1846644103842268E+000                  2.3796176579334931E+000                  3.4313316906278990E-001                  4.3538612805055150E+000                  0.0000000000000000E+000                  1.7018918344361218E+001                  1.4614188766871417E+000                  7.4197553927556026E+000                  6.1250905416511425E-001                  8.5414097381653786E-001                  1.2845413929113993E+000                  7.0829451783921282E-001                  2.7742248028746230E-001                  3.0130850683232787E-005                  5.7806567088047522E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8379791103370029E+000                  1.1058298420640389E+000                  7.0150105159010591E+003                                        0                                        5 
                                     198                                      867                  3.0174086673220377E+006                  5.4497213534558862E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1582559235490912E-001                  2.2651389657234755E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959820862E-001                  3.8041239131931237E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959820862E-001                  2.3799038342181946E+000                 -3.4179217289083795E+001                 -3.4006346484255494E+000                  2.3799045540739292E+000                  1.3441666956654887E+000                  2.3379415225278040E+000                 -3.4179217289083795E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9317682911072965E+032                  1.4788497298284181E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845341914684502E+000                  2.3794629392333513E+000                  3.4331624754427098E-001                  4.3534951235425527E+000                  0.0000000000000000E+000                  1.7018384585435662E+001                  1.4610535882893763E+000                  7.4197540630646079E+000                  6.1275261994875641E-001                  8.5388081565779306E-001                  1.2851832562576919E+000                  7.0777472600280988E-001                  2.7794644382156425E-001                  3.0183159746310552E-005                  5.7348380943774277E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8372909251233085E+000                  1.1065110287973807E+000                  7.0179646783360649E+003                                        0                                        5 
                                     199                                      867                  3.3553976932376614E+006                  5.5289025995035104E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1826554256891635E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959746877E-001                  3.8041239131931243E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959746877E-001                  2.3802838003697158E+000                 -3.4182877189189092E+001                 -3.4042624210769206E+000                  2.3802845136130695E+000                  1.3421586141582991E+000                  2.3385630091355885E+000                 -3.4182877189189092E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9405322661746267E+032                  1.4785121636331432E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1843455555937226E+000                  2.3795805240437096E+000                  3.4375231169890647E-001                  4.3526229952332827E+000                  0.0000000000000000E+000                  1.7017380022166275E+001                  1.4603679563624890E+000                  7.4196370895963693E+000                  6.1304504280370553E-001                  8.5356875312411984E-001                  1.2859540575546018E+000                  7.0715098350541805E-001                  2.7857584418492409E-001                  3.0434502907993621E-005                  5.6808788769309275E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8364646166341276E+000                  1.1073318925462798E+000                  7.0219575189793832E+003                                        0                                        5 
                                     200                                      868                  3.7609845243364098E+006                  5.6080838455511355E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1984622778070879E-001                  2.2651389657234755E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959596564E-001                  3.8041239131931237E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959596564E-001                  2.3806119852107184E+000                 -3.4188966793117849E+001                 -3.4094307864955038E+000                  2.3806126894839594E+000                  1.3397682739007062E+000                  2.3391643644819227E+000                 -3.4188966793117849E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9491480659883407E+032                  1.4777956412289176E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1841135528809010E+000                  2.3798443334776320E+000                  3.4434822184151037E-001                  4.3514311749480745E+000                  0.0000000000000000E+000                  1.7016073345211908E+001                  1.4594796112632316E+000                  7.4194613916316596E+000                  6.1339579057947269E-001                  8.5319485868019829E-001                  1.2868788767659649E+000                  7.0640344923924026E-001                  2.7933058949116252E-001                  3.0797081729271778E-005                  5.6177638810152968E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8354726553757010E+000                  1.1083199283704042E+000                  7.0261503794157115E+003                                        0                                        5 
                                     201                                      867                  4.2476887216549078E+006                  5.6872650915987606E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.2116675946487381E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959381491E-001                  3.8041239131931243E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959381491E-001                  2.3809887032809227E+000                 -3.4196780444837970E+001                 -3.4158735066967827E+000                  2.3809893965818079E+000                  1.3369448651026121E+000                  2.3398602454748318E+000                 -3.4196780444837970E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9583777148983662E+032                  1.4769104330959030E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1838348417421320E+000                  2.3802077247601257E+000                  3.4508733976029560E-001                  4.3499529391105041E+000                  0.0000000000000000E+000                  1.7014485263131746E+001                  1.4584041828594438E+000                  7.4192399012435581E+000                  6.1381658508365355E-001                  8.5274688552318778E-001                  1.2879887917481281E+000                  7.0550765282881489E-001                  2.8023522360242054E-001                  3.1254746734988184E-005                  5.5443225411187323E-003                  2.4348841795745623E-003                  5.9512385325536125E-003                  7.1827314975264124E-004                  2.8342817843001993E+000                  1.1095085286191129E+000                  7.0372029778340575E+003                                        0                                        5 
