                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230811"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                 delta_Pg                              num_retries                                num_iters 
                                     193                                      899                  2.0066145832598172E+006                  5.0538151232177615E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  7.3155949275547727E-001                  1.8121480241514731E-001                  7.8128448825071084E-008                  9.9999999983431209E-001                  9.9999999948927021E-001                  3.6502018811064940E-001                  7.8128448825071084E-008                  9.9999999983431209E-001                  9.9999999948927021E-001                  2.3306103829992049E+000                 -3.4508010491227274E+001                 -3.5551739497827524E+000                  2.3306109479357842E+000                  1.3287179446603143E+000                  2.2850626552364401E+000                 -3.4508010491227274E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6210896311775731E+032                  1.4816015757004517E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845672146754884E+000                  2.4082047348639897E+000                  3.5762109894551453E-001                  4.3248854207400660E+000                  0.0000000000000000E+000                  1.7000692285546961E+001                  1.4496656618017505E+000                  7.4129576179522862E+000                  6.1188986528908995E-001                  8.5480296159117197E-001                  1.2829097302958978E+000                  7.0961552833636810E-001                  2.7609850075767434E-001                  4.2068469748771732E-005                  5.8958328732436911E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8397490702235424E+000                  1.1041217437421442E+000                  7.0141299940146828E+003                                        0                                       10 
                                     194                                      865                  2.1424447923629968E+006                  5.1329963692653866E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.4066083302258199E-001                  2.0919602633409201E-001                  7.8128448880582235E-008                  9.9999999984993715E-001                  9.9999999955859586E-001                  4.0161785961192803E-001                  7.8128448880582235E-008                  9.9999999984993715E-001                  9.9999999955859586E-001                  2.3690315778964806E+000                 -3.4318724246092998E+001                 -3.4631497958009247E+000                  2.3690322170462230E+000                  1.3458964581298287E+000                  2.3257702011155654E+000                 -3.4318724246092998E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8477138197438275E+032                  1.5031392165766495E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845926841222809E+000                  2.3904746080786259E+000                  3.4870509665924770E-001                  4.3427174253125997E+000                  0.0000000000000000E+000                  1.7011263526826990E+001                  1.4562358898491552E+000                  7.4169611837159213E+000                  6.1199059467338612E-001                  8.5469530321107079E-001                  1.2831753161783914E+000                  7.0940086918195688E-001                  2.7631200432714470E-001                  3.6936232777221130E-005                  5.8809621670993474E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8394231366396703E+000                  1.1044089092663707E+000                  7.0362521840077989E+003                                        0                                        5 
                                     195                                      865                  2.3054410432868120E+006                  5.2121776153130117E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.0221307523674876E-001                  2.2321603076308533E-001                  7.8128448658537630E-008                  9.9999999986165578E-001                  9.9999999958327568E-001                  4.2535155861761681E-001                  7.8128448658537630E-008                  9.9999999986165578E-001                  9.9999999958327568E-001                  2.3753838783027361E+000                 -3.4240298830762356E+001                 -3.4258131463264254E+000                  2.3753845647180172E+000                  1.3499137016119884E+000                  2.3323663582765475E+000                 -3.4240298830762356E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9030960153202661E+032                  1.4948570721952595E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845061628395692E+000                  2.3826163646057745E+000                  3.4494901748824580E-001                  4.3502295836546034E+000                  0.0000000000000000E+000                  1.7015463795939333E+001                  1.4588547411108692E+000                  7.4185983415480266E+000                  6.1211097701326611E-001                  8.5456658479275061E-001                  1.2834925816422547E+000                  7.0914416664517643E-001                  2.7656835316847145E-001                  3.3341830276864288E-005                  5.8599405556349574E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8390279849948703E+000                  1.1047771620045319E+000                  7.0425242015294225E+003                                        0                                        5 
                                     196                                      861                  2.5010365443953909E+006                  5.2913588613606359E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1667863542633410E-001                  2.2321603076308533E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959310659E-001                  4.2535155861761681E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959310659E-001                  2.3765906522554681E+000                 -3.4188802311462226E+001                 -3.4020666409091254E+000                  2.3765913752360897E+000                  1.3493240976705783E+000                  2.3337597503680372E+000                 -3.4188802311462226E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9159327036020637E+032                  1.4906731935416717E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1847918897165819E+000                  2.3803866901621622E+000                  3.4326272651241285E-001                  4.3536021656062696E+000                  0.0000000000000000E+000                  1.7018739448992406E+001                  1.4611928867083248E+000                  7.4196341131348289E+000                  6.1226668699981512E-001                  8.5440009278206552E-001                  1.2839028769031706E+000                  7.0881192938565907E-001                  2.7690144584969772E-001                  3.0566854597694428E-005                  5.8302903729282596E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8385536829645175E+000                  1.1052402510461083E+000                  7.0253842911311312E+003                                        0                                        5 
                                     197                                      861                  2.7357511457256847E+006                  5.3705401074082610E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1988557934507398E-001                  2.2981176238160989E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959815900E-001                  4.3700703391178869E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959815900E-001                  2.3791824141430169E+000                 -3.4184394613604120E+001                 -3.4010052770086308E+000                  2.3791831345804328E+000                  1.3503588860207685E+000                  2.3365125719208182E+000                 -3.4184394613604120E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9423361568583216E+032                  1.4881112128471706E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845672782890935E+000                  2.3789978216657151E+000                  3.4301751511916795E-001                  4.3540925883927590E+000                  0.0000000000000000E+000                  1.7018315595318882E+001                  1.4608105164551239E+000                  7.4197094337490652E+000                  6.1244250812274181E-001                  8.5421212215154030E-001                  1.2843661028534341E+000                  7.0843662477947278E-001                  2.7727900827079366E-001                  3.0746698089320887E-005                  5.7973249050990204E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8379812236864197E+000                  1.1058009593913543E+000                  7.0334276875711612E+003                                        0                                        5 
                                     198                                      865                  3.0174086673220377E+006                  5.4497213534558862E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.2254942406842944E-001                  2.2981176238160972E-001                  7.8128448436493025E-008                  9.9999999986165566E-001                  9.9999999959828889E-001                  4.3700703391178869E-001                  7.8128448436493025E-008                  9.9999999986165566E-001                  9.9999999959828889E-001                  2.3791826734979398E+000                 -3.4178204240505551E+001                 -3.3994412911721343E+000                  2.3791833965340459E+000                  1.3485152294105172E+000                  2.3367027513377518E+000                 -3.4178204240505551E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9447710518413431E+032                  1.4759877595924386E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845374962846664E+000                  2.3790649889522348E+000                  3.4311066277128000E-001                  4.3539062930885351E+000                  0.0000000000000000E+000                  1.7018267364389420E+001                  1.4608175817146292E+000                  7.4198031513760236E+000                  6.1265930245499745E-001                  8.5398050923227609E-001                  1.2849373951133274E+000                  7.0797392923938618E-001                  2.7774513301179560E-001                  3.0396889653775591E-005                  5.7565933128961699E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8372945267885457E+000                  1.1064810530080198E+000                  7.0321558458328564E+003                                        0                                        5 
                                     199                                      865                  3.3553976932376614E+006                  5.5289025995035104E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.2264410909115002E-001                  2.2981176238160989E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959799113E-001                  4.3700703391178869E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959799113E-001                  2.3797505577247522E+000                 -3.4178196065822505E+001                 -3.4011284195611111E+000                  2.3797512770163287E+000                  1.3466962959215290E+000                  2.3375151568116603E+000                 -3.4178196065822505E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9523081808805280E+032                  1.4754681014968958E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1844215825414919E+000                  2.3792702273525110E+000                  3.4344510945776857E-001                  4.3532373997155585E+000                  0.0000000000000000E+000                  1.7017632020296940E+001                  1.4604021754505143E+000                  7.4197645305173587E+000                  6.1292205810900169E-001                  8.5370000872691187E-001                  1.2856299357396959E+000                  7.0741334188991312E-001                  2.7831058901731304E-001                  3.0439927321926080E-005                  5.7078367349626871E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8364696033681516E+000                  1.1073026050181045E+000                  7.0364229390544315E+003                                        0                                        5 
                                     200                                      868                  3.7609845243364098E+006                  5.6080838455511355E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.2334678995697739E-001                  2.2981176238160983E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959690322E-001                  4.3700703391178869E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959690322E-001                  2.3802383943793011E+000                 -3.4182485985699316E+001                 -3.4052219093512810E+000                  2.3802391061230339E+000                  1.3444404208667766E+000                  2.3382822535375798E+000                 -3.4182485985699316E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9591727154804574E+032                  1.4749596593106962E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1842347006554359E+000                  2.3795872187112961E+000                  3.4397736890927266E-001                  4.3521728808125495E+000                  0.0000000000000000E+000                  1.7016553794876202E+001                  1.4596777872386872E+000                  7.4196300365362351E+000                  6.1323908644651903E-001                  8.5336189989326450E-001                  1.2864657407905193E+000                  7.0673741894459030E-001                  2.7899289068266514E-001                  3.0683234796356481E-005                  5.6502079696627138E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8354788271623863E+000                  1.1082923829957931E+000                  7.0396368106092586E+003                                        0                                        5 
                                     201                                      868                  4.2476887216549078E+006                  5.6872650915987606E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.2385836993481540E-001                  2.2981176238160989E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959509811E-001                  4.3700703391178869E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959509811E-001                  2.3807291286618808E+000                 -3.4189456698223964E+001                 -3.4110079086576315E+000                  2.3807298301929722E+000                  1.3418283457733995E+000                  2.3390864650738594E+000                 -3.4189456698223964E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9661125428966410E+032                  1.4740233711037686E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1839931330210502E+000                  2.3800194726975556E+000                  3.4467663117117420E-001                  4.3507743562887464E+000                  0.0000000000000000E+000                  1.7015134289205658E+001                  1.4587207904850981E+000                  7.4194312149613744E+000                  6.1361989896918168E-001                  8.5295624755776445E-001                  1.2874700315724785E+000                  7.0592630220766794E-001                  2.7981195399733955E-001                  3.1061104806486928E-005                  5.5828353118634010E-003                  2.4348841795745080E-003                  5.9512385325534815E-003                  7.1827314975262562E-004                  2.8342889404007061E+000                  1.1094832490959272E+000                  7.0439039751427754E+003                                        0                                        5 
