                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg
  0.2918679624684500E+000   0.0000000000000000E+000                         1                         1                        80                         0                       -80
  0.2954255272440804E+000   0.0000000000000000E+000                         1                         1                        79                         0                       -79
  0.2991946724405389E+000   0.0000000000000000E+000                         1                         1                        78                         0                       -78
  0.3030700103613274E+000   0.0000000000000000E+000                         1                         1                        77                         0                       -77
  0.3069384754229406E+000   0.0000000000000000E+000                         1                         1                        76                         0                       -76
  0.3110090697128322E+000   0.0000000000000000E+000                         1                         1                        75                         0                       -75
  0.3152065516357498E+000   0.0000000000000000E+000                         1                         1                        74                         0                       -74
  0.3194508262754699E+000   0.0000000000000000E+000                         1                         1                        73                         0                       -73
  0.3238230455893935E+000   0.0000000000000000E+000                         1                         1                        72                         0                       -72
  0.3283593096667318E+000   0.0000000000000000E+000                         1                         1                        71                         0                       -71
  0.3329511518125776E+000   0.0000000000000000E+000                         1                         1                        70                         0                       -70
  0.3377086068768024E+000   0.0000000000000000E+000                         1                         1                        69                         0                       -69
  0.3426562661420964E+000   0.0000000000000000E+000                         1                         1                        68                         0                       -68
  0.3476767994166860E+000   0.0000000000000000E+000                         1                         1                        67                         0                       -67
  0.3527981523807405E+000   0.0000000000000000E+000                         1                         1                        66                         0                       -66
  0.3581280586982675E+000   0.0000000000000000E+000                         1                         1                        65                         0                       -65
  0.3637215798938550E+000   0.0000000000000000E+000                         1                         1                        64                         0                       -64
  0.3693066328082911E+000   0.0000000000000000E+000                         1                         1                        63                         0                       -63
  0.3751740035825059E+000   0.0000000000000000E+000                         1                         1                        62                         0                       -62
  0.3811974474994468E+000   0.0000000000000000E+000                         1                         1                        61                         0                       -61
  0.3873634216950578E+000   0.0000000000000000E+000                         1                         1                        60                         0                       -60
  0.3938451225952408E+000   0.0000000000000000E+000                         1                         1                        59                         0                       -59
  0.4005225346994789E+000   0.0000000000000000E+000                         1                         1                        58                         0                       -58
  0.4074395733198745E+000   0.0000000000000000E+000                         1                         1                        57                         0                       -57
  0.4143922400171439E+000   0.0000000000000000E+000                         1                         1                        56                         0                       -56
  0.4219312118195152E+000   0.0000000000000000E+000                         1                         1                        55                         0                       -55
  0.4297090198118494E+000   0.0000000000000000E+000                         1                         1                        54                         0                       -54
  0.4375313924653092E+000   0.0000000000000000E+000                         1                         1                        53                         0                       -53
  0.4457856723966178E+000   0.0000000000000000E+000                         1                         1                        52                         0                       -52
  0.4545611849761348E+000   0.0000000000000000E+000                         1                         1                        51                         0                       -51
  0.4633931818235640E+000   0.0000000000000000E+000                         1                         1                        50                         0                       -50
  0.4725366742709997E+000   0.0000000000000000E+000                         1                         1                        49                         0                       -49
  0.4827250004827330E+000   0.0000000000000000E+000                         1                         1                        48                         0                       -48
  0.4923699068152088E+000   0.0000000000000000E+000                         1                         1                        47                         0                       -47
  0.5026381691757794E+000   0.0000000000000000E+000                         1                         1                        46                         0                       -46
  0.5144373296104224E+000   0.0000000000000000E+000                         1                         1                        45                         0                       -45
  0.5255089207256260E+000   0.0000000000000000E+000                         1                         1                        44                         0                       -44
  0.5371047109639082E+000   0.0000000000000000E+000                         1                         1                        43                         0                       -43
  0.5502505360795075E+000   0.0000000000000000E+000                         1                         1                        42                         0                       -42
  0.5630331953963706E+000   0.0000000000000000E+000                         1                         1                        41                         0                       -41
  0.5759118352397103E+000   0.0000000000000000E+000                         1                         1                        40                         0                       -40
  0.5912540567026145E+000   0.0000000000000000E+000                         1                         1                        39                         0                       -39
  0.6064664096307969E+000   0.0000000000000000E+000                         1                         1                        38                         0                       -38
  0.6212617499637257E+000   0.0000000000000000E+000                         1                         1                        37                         0                       -37
  0.6389933763148059E+000   0.0000000000000000E+000                         1                         1                        36                         0                       -36
  0.6572382169080508E+000   0.0000000000000000E+000                         1                         1                        35                         0                       -35
  0.6746324957659557E+000   0.0000000000000000E+000                         1                         1                        34                         0                       -34
  0.6954821085467197E+000   0.0000000000000000E+000                         1                         1                        33                         0                       -33
  0.7178966564734595E+000   0.0000000000000000E+000                         1                         1                        32                         0                       -32
  0.7387539278640231E+000   0.0000000000000000E+000                         1                         1                        31                         0                       -31
  0.7632590184841791E+000   0.0000000000000000E+000                         1                         1                        30                         0                       -30
  0.7905035972742235E+000   0.0000000000000000E+000                         1                         1                        29                         0                       -29
  0.8166666158087845E+000   0.0000000000000000E+000                         1                         1                        28                         0                       -28
  0.8452446932875047E+000   0.0000000000000000E+000                         1                         1                        27                         0                       -27
  0.8799540152395763E+000   0.0000000000000000E+000                         1                         1                        26                         0                       -26
  0.9144384074657028E+000   0.0000000000000000E+000                         1                         1                        25                         0                       -25
  0.9470426759321847E+000   0.0000000000000000E+000                         1                         1                        24                         0                       -24
  0.9916586099605907E+000   0.0000000000000000E+000                         1                         1                        23                         0                       -23
  0.1038706311640103E+001   0.0000000000000000E+000                         1                         1                        22                         0                       -22
  0.1078200306286405E+001   0.0000000000000000E+000                         1                         1                        21                         0                       -21
  0.1133207734223658E+001   0.0000000000000000E+000                         1                         1                        20                         0                       -20
  0.1202037556191380E+001   0.0000000000000000E+000                         1                         1                        19                         0                       -19
  0.1254055685481316E+001   0.0000000000000000E+000                         1                         1                        18                         0                       -18
  0.1324185364297783E+001   0.0000000000000000E+000                         1                         1                        17                         0                       -17
  0.1416389978225715E+001   0.0000000000000000E+000                         1                         1                        16                         0                       -16
  0.1499801318175704E+001   0.0000000000000000E+000                         1                         1                        15                         0                       -15
  0.1600490037092836E+001   0.0000000000000000E+000                         1                         1                        14                         0                       -14
  0.1732774067755333E+001   0.0000000000000000E+000                         1                         1                        13                         0                       -13
  0.1854134475983323E+001   0.0000000000000000E+000                         1                         1                        12                         0                       -12
  0.1987549582297449E+001   0.0000000000000000E+000                         1                         1                        11                         0                       -11
  0.2205532795241754E+001   0.0000000000000000E+000                         1                         1                        10                         0                       -10
  0.2420785790923190E+001   0.0000000000000000E+000                         1                         1                         9                         0                        -9
  0.2620505899657825E+001   0.0000000000000000E+000                         1                         1                         8                         0                        -8
  0.2990430608959683E+001   0.0000000000000000E+000                         1                         1                         7                         0                        -7
  0.3894976556623154E+001   0.0000000000000000E+000                         1                         1                         5                         1                        -4
  0.4409781957086524E+001   0.0000000000000000E+000                         1                         1                         4                         1                        -3
  0.4824933549061786E+001   0.0000000000000000E+000                         1                         1                         4                         2                        -2
