                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230811"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                 delta_Pg                              num_retries                                num_iters 
                                     193                                      899                  2.0066145832598172E+006                  5.0538151232177615E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  7.3280869200940535E-001                  1.8121480241514731E-001                  7.8128448825071084E-008                  9.9999999983431209E-001                  9.9999999948927065E-001                  2.6923892168619123E-001                  7.8128448825071084E-008                  9.9999999983431209E-001                  9.9999999948927065E-001                  2.3249138044721867E+000                 -3.4458327059346267E+001                 -3.5314507806548376E+000                  2.3249144090043670E+000                  1.3231249997028967E+000                  2.2793546159526685E+000                 -3.4458327059346267E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5531531236528671E+032                  1.4579169985225909E+033                  2.2190725978119315E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2251040510242398E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1855175322309481E+000                  2.4104856850656353E+000                  3.5686093893541843E-001                  4.3264057407602587E+000                  0.0000000000000000E+000                  1.7005632706421103E+001                  1.4536487260928896E+000                  7.4139366329463581E+000                  6.1190928148994728E-001                  8.5478226946186631E-001                  1.2829610246042937E+000                  7.0957423480969750E-001                  2.7613918608776450E-001                  3.6892597722970469E-005                  5.8896041834768835E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8397528730316508E+000                  1.1041291488887415E+000                  6.9492373758608792E+003                                        0                                       10 
                                     194                                      864                  2.1424447923629968E+006                  5.1329963692653866E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.1887933786362976E-001                  2.0342529600200415E-001                  7.8128448880582235E-008                  9.9999999985579657E-001                  9.9999999956298513E-001                  2.9526344744847138E-001                  7.8128448880582235E-008                  9.9999999985579657E-001                  9.9999999956298513E-001                  2.3679233949128990E+000                 -3.4233853492035458E+001                 -3.4230608416867043E+000                  2.3679240976610689E+000                  1.3441532563930203E+000                  2.3247284784028146E+000                 -3.4233853492035458E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7807369530960101E+032                  1.4871426553104722E+033                  2.2118420703755629E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.3917706231896297E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1861070978859587E+000                  2.3935864344999809E+000                  3.4723218234257081E-001                  4.3456632539459532E+000                  0.0000000000000000E+000                  1.7019285836948526E+001                  1.4626326232597819E+000                  7.4186302117578142E+000                  6.1203856821846647E-001                  8.5464404047593878E-001                  1.2833018097824531E+000                  7.0929859348027624E-001                  2.7641402457261788E-001                  3.0134342298283061E-005                  5.8644563200994449E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8394291046460101E+000                  1.1044380204104234E+000                  6.9364174412077509E+003                                        0                                        5 
                                     195                                      872                  2.3054410432868120E+006                  5.2121776153130117E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.6924489292284124E-001                  2.1414411277525214E-001                  7.8128448603026479E-008                  9.9999999986165578E-001                  9.9999999959067598E-001                  3.1137848385397948E-001                  7.8128448603026479E-008                  9.9999999986165578E-001                  9.9999999959067598E-001                  2.3803366734038320E+000                 -3.4193935879990640E+001                 -3.4043618972432190E+000                  2.3803373863970259E+000                  1.3455205856966483E+000                  2.3382808176660483E+000                 -3.4193935879990640E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8731327312651505E+032                  1.4939467580773153E+033                  2.2186863468390021E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4004978937011328E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1852097908888286E+000                  2.3835220547628619E+000                  3.4399460646827024E-001                  4.3521384056945545E+000                  0.0000000000000000E+000                  1.7019816702722139E+001                  1.4623721992810192E+000                  7.4194959474117432E+000                  6.1219076950548812E-001                  8.5448119390561461E-001                  1.2837027246574644E+000                  7.0897378255697219E-001                  2.7673983480515929E-001                  3.0055688876975302E-005                  5.8354284478764756E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8390296903458747E+000                  1.1048221893188908E+000                  6.9776043724628371E+003                                        0                                        5 
                                     196                                      869                  2.5010365443953909E+006                  5.2913588613606359E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.9379290217823348E-001                  2.2321603076308533E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959722685E-001                  3.2097702160251201E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959722685E-001                  2.3805220165938694E+000                 -3.4190836590834508E+001                 -3.4038471229659604E+000                  2.3805227301281038E+000                  1.3442108944166462E+000                  2.3386178895797904E+000                 -3.4190836590834508E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8899628884924999E+032                  1.4895349736011108E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1846998257817365E+000                  2.3801929744308774E+000                  3.4334999651646292E-001                  4.3534276255981696E+000                  0.0000000000000000E+000                  1.7018985007691562E+001                  1.4615941419963023E+000                  7.4195554455258712E+000                  6.1236646832308084E-001                  8.5429331024596822E-001                  1.2841656034922868E+000                  7.0859874638153175E-001                  2.7711681745677597E-001                  3.0189519558136435E-005                  5.8026376290958954E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8385504677647910E+000                  1.1052862888750670E+000                  6.9981436466519208E+003                                        0                                        5 
                                     197                                      864                  2.7357511457256847E+006                  5.3705401074082610E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.0131168152082242E-001                  2.1991716570212366E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959774155E-001                  3.2097702160251201E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959774155E-001                  2.3799789786924985E+000                 -3.4185283343822526E+001                 -3.4026317407669460E+000                  2.3799796951216248E+000                  1.3409388865286793E+000                  2.3383503317875154E+000                 -3.4185283343822526E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8975391832539009E+032                  1.4895056801739847E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845926025674585E+000                  2.3797735208940702E+000                  3.4335471617661506E-001                  4.3534181862778647E+000                  0.0000000000000000E+000                  1.7018782443284046E+001                  1.4614644050486443E+000                  7.4196376002470812E+000                  6.1259321178139936E-001                  8.5405100150674262E-001                  1.2847630605999072E+000                  7.0811478546250339E-001                  2.7760416872815907E-001                  2.9987361251181820E-005                  5.7595004875600521E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8379763347192362E+000                  1.1058487861535931E+000                  7.0003984577983965E+003                                        0                                        5 
                                     198                                      866                  3.0174086673220377E+006                  5.4497213534558862E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.0572835667331919E-001                  2.1991716570212361E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959749841E-001                  3.2097702160251196E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959749841E-001                  2.3803469489525706E+000                 -3.4186413825243648E+001                 -3.4048962885348786E+000                  2.3803476610521312E+000                  1.3393683769943028E+000                  2.3389128307482290E+000                 -3.4186413825243648E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9136527960828106E+032                  1.4899532242548935E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1844243048816860E+000                  2.3796879503073227E+000                  3.4364852625478487E-001                  4.3528305661215256E+000                  0.0000000000000000E+000                  1.7017951855723886E+001                  1.4608799235107457E+000                  7.4195776195093766E+000                  6.1286426852738829E-001                  8.5376157116199680E-001                  1.2854774271030707E+000                  7.0753641823700375E-001                  2.7818745032786635E-001                  3.0230583068546455E-005                  5.7088176442640463E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8372870987453012E+000                  1.1065279152411727E+000                  7.0100214063189951E+003                                        0                                        5 
                                     199                                      865                  3.3553976932376614E+006                  5.5289025995035104E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1054485733983614E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959639996E-001                  3.2416871954402898E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959639996E-001                  2.3805332856078376E+000                 -3.4190670686686758E+001                 -3.4089224584831848E+000                  2.3805339908336740E+000                  1.3384704583277847E+000                  2.3392075578230851E+000                 -3.4190670686686758E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9267572779720448E+032                  1.4877323842060049E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1842137388922973E+000                  2.3797599994225433E+000                  3.4410568279117387E-001                  4.3519162530487474E+000                  0.0000000000000000E+000                  1.7016801749644614E+001                  1.4600748095718064E+000                  7.4194474624979572E+000                  6.1317625137973308E-001                  8.5342877569029285E-001                  1.2862998850395195E+000                  7.0687114315368715E-001                  2.7885893696001984E-001                  3.0585597012106716E-005                  5.6521546797700453E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8364601570307526E+000                  1.1073462930548050E+000                  7.0142300339124786E+003                                        0                                        5 
                                     200                                      862                  3.7609845243364098E+006                  5.6080838455511355E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1357931212863575E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959470254E-001                  3.2416871954402898E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959470254E-001                  2.3807372167439333E+000                 -3.4196167665337441E+001                 -3.4140145517998612E+000                  2.3807379134220903E+000                  1.3354750030798950E+000                  2.3397295949285515E+000                 -3.4196167665337441E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9402564097882246E+032                  1.4877609595780172E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1839652759771448E+000                  2.3799448777096783E+000                  3.4469504776504695E-001                  4.3507375231010013E+000                  0.0000000000000000E+000                  1.7015426438024829E+001                  1.4591322043392689E+000                  7.4192800652676105E+000                  6.1356065382162528E-001                  8.5301921393738012E-001                  1.2873135847925608E+000                  7.0605223706813935E-001                  2.7968582523865465E-001                  3.0991267798186128E-005                  5.5838985017049739E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8354677594166997E+000                  1.1083321645038064E+000                  7.0197722403711568E+003                                        0                                        5 
                                     201                                      870                  4.2476887216549078E+006                  5.6872650915987606E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1726258314506093E-001                  2.2651389657234750E-001                  7.8128448547515328E-008                  9.9999999986165566E-001                  9.9999999959253660E-001                  3.2416871954402898E-001                  7.8128448547515328E-008                  9.9999999986165566E-001                  9.9999999959253660E-001                  2.3810443416199734E+000                 -3.4203943628810450E+001                 -3.4207058792870977E+000                  2.3810450271614689E+000                  1.3324527524722716E+000                  2.3403650269970062E+000                 -3.4203943628810450E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9531229855036970E+032                  1.4873954225395316E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1836584767924814E+000                  2.3802201781998078E+000                  3.4544629637943736E-001                  4.3492350258722201E+000                  0.0000000000000000E+000                  1.7013728361988093E+001                  1.4579806858566340E+000                  7.4190536300324466E+000                  6.1402381772643011E-001                  8.5252644915461295E-001                  1.2885354721485511E+000                  7.0506682699765888E-001                  2.8068093414888851E-001                  3.1504443386817701E-005                  5.5042819855729607E-003                  2.4348841795746538E-003                  5.9512385325538354E-003                  7.1827314975266867E-004                  2.8342766750065982E+000                  1.1095188506071925E+000                  7.0343802335532919E+003                                        0                                        5 
