                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg
  0.3233517191932208E+000   0.0000000000000000E+000                         1                         1                        80                         0                       -80
  0.3272640434445399E+000   0.0000000000000000E+000                         1                         1                        79                         0                       -79
  0.3316405923450239E+000   0.0000000000000000E+000                         1                         1                        78                         0                       -78
  0.3356611662930789E+000   0.0000000000000000E+000                         1                         1                        77                         0                       -77
  0.3400165234681400E+000   0.0000000000000000E+000                         1                         1                        76                         0                       -76
  0.3447058471467279E+000   0.0000000000000000E+000                         1                         1                        75                         0                       -75
  0.3490326691380111E+000   0.0000000000000000E+000                         1                         1                        74                         0                       -74
  0.3537162187877409E+000   0.0000000000000000E+000                         1                         1                        73                         0                       -73
  0.3590121328401562E+000   0.0000000000000000E+000                         1                         1                        72                         0                       -72
  0.3634905334459856E+000   0.0000000000000000E+000                         1                         1                        71                         0                       -71
  0.3688501627507548E+000   0.0000000000000000E+000                         1                         1                        70                         0                       -70
  0.3743270747654671E+000   0.0000000000000000E+000                         1                         1                        69                         0                       -69
  0.3794860741271369E+000   0.0000000000000000E+000                         1                         1                        68                         0                       -68
  0.3852203246557283E+000   0.0000000000000000E+000                         1                         1                        67                         0                       -67
  0.3911748902847058E+000   0.0000000000000000E+000                         1                         1                        66                         0                       -66
  0.3966856542692754E+000   0.0000000000000000E+000                         1                         1                        65                         0                       -65
  0.4033696087569122E+000   0.0000000000000000E+000                         1                         1                        64                         0                       -64
  0.4094471487476937E+000   0.0000000000000000E+000                         1                         1                        63                         0                       -63
  0.4157649141633027E+000   0.0000000000000000E+000                         1                         1                        62                         0                       -62
  0.4229092901567192E+000   0.0000000000000000E+000                         1                         1                        61                         0                       -61
  0.4296303384525090E+000   0.0000000000000000E+000                         1                         1                        60                         0                       -60
  0.4363918119120873E+000   0.0000000000000000E+000                         1                         1                        59                         0                       -59
  0.4444735143496024E+000   0.0000000000000000E+000                         1                         1                        58                         0                       -58
  0.4515418843650420E+000   0.0000000000000000E+000                         1                         1                        57                         0                       -57
  0.4592062777787758E+000   0.0000000000000000E+000                         1                         1                        56                         0                       -56
  0.4682141703424623E+000   0.0000000000000000E+000                         1                         1                        55                         0                       -55
  0.4755568352867193E+000   0.0000000000000000E+000                         1                         1                        54                         0                       -54
  0.4850169096956780E+000   0.0000000000000000E+000                         1                         1                        53                         0                       -53
  0.4940666477361644E+000   0.0000000000000000E+000                         1                         1                        52                         0                       -52
  0.5030168230985516E+000   0.0000000000000000E+000                         1                         1                        51                         0                       -51
  0.5132128606763093E+000   0.0000000000000000E+000                         1                         1                        50                         0                       -50
  0.5238655516206805E+000   0.0000000000000000E+000                         1                         1                        49                         0                       -49
  0.5329986015071722E+000   0.0000000000000000E+000                         1                         1                        48                         0                       -48
  0.5461850788340157E+000   0.0000000000000000E+000                         1                         1                        47                         0                       -47
  0.5572180270723563E+000   0.0000000000000000E+000                         1                         1                        46                         0                       -46
  0.5681230576030727E+000   0.0000000000000000E+000                         1                         1                        45                         0                       -45
  0.5822653232179918E+000   0.0000000000000000E+000                         1                         1                        44                         0                       -44
  0.5960782363667688E+000   0.0000000000000000E+000                         1                         1                        43                         0                       -43
  0.6068519238262872E+000   0.0000000000000000E+000                         1                         1                        42                         0                       -42
  0.6246959170856741E+000   0.0000000000000000E+000                         1                         1                        41                         0                       -41
  0.6387696982316226E+000   0.0000000000000000E+000                         1                         1                        40                         0                       -40
  0.6532944884297867E+000   0.0000000000000000E+000                         1                         1                        39                         0                       -39
  0.6724708130887096E+000   0.0000000000000000E+000                         1                         1                        38                         0                       -38
  0.6886908740282557E+000   0.0000000000000000E+000                         1                         1                        37                         0                       -37
  0.7058497497544129E+000   0.0000000000000000E+000                         1                         1                        36                         0                       -36
  0.7293002701609701E+000   0.0000000000000000E+000                         1                         1                        35                         0                       -35
  0.7459375493866327E+000   0.0000000000000000E+000                         1                         1                        34                         0                       -34
  0.7694430327135835E+000   0.0000000000000000E+000                         1                         1                        33                         0                       -33
  0.7939942399548323E+000   0.0000000000000000E+000                         1                         1                        32                         0                       -32
  0.8158790470741741E+000   0.0000000000000000E+000                         1                         1                        31                         0                       -31
  0.8407002462160510E+000   0.0000000000000000E+000                         1                         1                        30                         0                       -30
  0.8757088281471739E+000   0.0000000000000000E+000                         1                         1                        29                         0                       -29
  0.8991880510624133E+000   0.0000000000000000E+000                         1                         1                        28                         0                       -28
  0.9319454289730423E+000   0.0000000000000000E+000                         1                         1                        27                         0                       -27
  0.9727256889294496E+000   0.0000000000000000E+000                         1                         1                        26                         0                       -26
  0.1008577007075954E+001   0.0000000000000000E+000                         1                         1                        25                         0                       -25
  0.1041708069506035E+001   0.0000000000000000E+000                         1                         1                        24                         0                       -24
  0.1101911255310525E+001   0.0000000000000000E+000                         1                         1                        23                         0                       -23
  0.1137281235506701E+001   0.0000000000000000E+000                         1                         1                        22                         0                       -22
  0.1194386774233895E+001   0.0000000000000000E+000                         1                         1                        21                         0                       -21
  0.1258936660086549E+001   0.0000000000000000E+000                         1                         1                        20                         0                       -20
  0.1313678510980566E+001   0.0000000000000000E+000                         1                         1                        19                         0                       -19
  0.1384091955612614E+001   0.0000000000000000E+000                         1                         1                        18                         0                       -18
  0.1479730305460166E+001   0.0000000000000000E+000                         1                         1                        17                         0                       -17
  0.1543204859764971E+001   0.0000000000000000E+000                         1                         1                        16                         0                       -16
  0.1662986377237459E+001   0.0000000000000000E+000                         1                         1                        15                         0                       -15
  0.1780616547644279E+001   0.0000000000000000E+000                         1                         1                        14                         0                       -14
  0.1880236311640479E+001   0.0000000000000000E+000                         1                         1                        13                         0                       -13
  0.2057676654741647E+001   0.0000000000000000E+000                         1                         1                        12                         0                       -12
  0.2222681726078032E+001   0.0000000000000000E+000                         1                         1                        11                         0                       -11
  0.2381259966906926E+001   0.0000000000000000E+000                         1                         1                        10                         0                       -10
  0.2668521028960752E+001   0.0000000000000000E+000                         1                         1                         9                         0                        -9
  0.2949365042840623E+001   0.0000000000000000E+000                         1                         1                         8                         0                        -8
  0.3248962420419202E+001   0.0000000000000000E+000                         1                         1                         7                         0                        -7
  0.3843750702967501E+001   0.0000000000000000E+000                         1                         1                         6                         0                        -6
  0.4405016859918586E+001   0.0000000000000000E+000                         1                         1                         5                         0                        -5
